UNIQID,API,GIS_API5,GIS_WELL_NUMBER,SYMNUM,GIS_SYMBOL_DESCRIPTION,RELIAB,GIS_LOCATION_SOURCE,GIS_LAT27,GIS_LONG27,GIS_LAT83,GIS_LONG83,OBJECTID
709794,32933656,33656,39H,8,Plugged Gas Well,55,Coordinates - Operator reported,3266458.36089239,2335939.51738845,31.88314509,-102.14423925,59776
1313669,32941389,41389,7LB,4,Oil Well,40,Operator reported location - Distances and Plat,3230480.00098425,2370779.01607612,31.78586938,-102.02965803,61916
1313939,32941398,41398,7UA,4,Oil Well,40,Operator reported location - Distances and Plat,3230479.55118111,2371139.98622048,31.78588638,-102.02849411,61920
1424643,32942925,42925,231,4,Oil Well,40,Operator reported location - Distances and Plat,3318235.54560368,2373762.25360893,32.02769837,-102.02521949,62191
1518739,32943740,43740,3608H,2,Permitted Location,55,Coordinates - Operator reported,31.86735742,-101.99995918,31.86748527,-102.00037115,62324
744394,32934454,34454,3,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3227673.93996063,2374055.76377952,31.7783063,-102.0189275,62471
710942,32937938,37938,3,4,Oil Well,55,Coordinates - Operator reported,3296989.05675852,2388054.02099738,31.96989958,-101.9777912,62502
1312592,32941370,41370,2HD,4,Oil Well,40,Operator reported location - Distances and Plat,3286019.78379265,2420016.42257218,31.9412228,-101.87392924,62503
1499549,32943563,43563,4214H,4,Oil Well,40,Operator reported location - Distances and Plat,3323562.23654856,2394943.31725721,32.04339893,-101.95704218,62860
711117,32931366,31366,4,7,Plugged Oil Well,15,Commission`s hardcopy map,3286739.28641732,2414281.41732283,31.9427854,-101.89206219,66669
710521,32931968,31968,1D,7,Plugged Oil Well,15,Commission`s hardcopy map,3274813.96030183,2371669.68044619,31.90801263,-102.02940879,67417
746074,32933087,33087,504A,7,Plugged Oil Well,40,Operator reported location - Distances and Plat,3243291.07841207,2419799.25295275,31.82353396,-101.87229485,68561
745851,32934203,34203,167A,7,Plugged Oil Well,55,Coordinates - Operator reported,3252505.05413386,2424176.29790026,31.84911384,-101.85867512,72980
709025,32936282,36282,3106,7,Plugged Oil Well,55,Coordinates - Operator reported,3303822.46456693,2303924.78969817,31.98429047,-102.25002134,77213
665584,32935226,35226,3,4,Oil Well,55,Coordinates - Operator reported,3318052.85793963,2420540.8402231,32.02946575,-101.8739882,80628
709112,32936232,36232,3116,7,Plugged Oil Well,55,Coordinates - Operator reported,3301727.26968505,2305815.87073492,31.97862647,-102.24377391,80705
745876,32933230,33230,147A,7,Plugged Oil Well,40,Operator reported location - Distances and Plat,3251530.70538057,2425812.60367455,31.84650596,-101.85334275,81164
664551,32901406,01406,1,10,Plugged Oil / Gas,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3326916.61975065,2405235.95045932,32.05315218,-101.92396328,81888
1364981,32942279,42279,3903WB,4,Oil Well,40,Operator reported location - Distances and Plat,3307435.85367455,2320718.91929133,31.99517052,-102.1959906,82298
709052,32936278,36278,3104,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3302915.4425853,2305491.22867455,31.98188034,-102.24490068,84042
663302,32900951,00951,1,7,Plugged Oil Well,15,Commission`s hardcopy map,3312302.05019686,2315741.06856956,32.00829795,-102.21239056,84638
710383,32931933,31933,1,7,Plugged Oil Well,15,Commission`s hardcopy map,3284646.33070867,2378552.82447507,31.93543676,-102.0077625,85457
744958,32933791,33791,904A,7,Plugged Oil Well,40,Operator reported location - Distances and Plat,3244798.35006562,2409606.50295275,31.82705273,-101.90482819,87079
710102,32935316,35316,4,7,Plugged Oil Well,40,Operator reported location - Distances and Plat,3303321.10104987,2369043.06528871,31.98638689,-102.03958585,88653
745054,32935379,35379,32,7,Plugged Oil Well,55,Coordinates - Operator reported,3240349.32283464,2392953.63090551,31.81415166,-101.958722,88660
1698059,32945412,45412,0253WA,4,Oil Well,40,Operator reported location - Distances and Plat,3254409.48261155,2357558.58431758,31.85109763,-102.07373146,89222
1363932,32942246,42246,0126WA,4,Oil Well,40,Operator reported location - Distances and Plat,3244767.48556431,2385300.92421261,31.82594418,-101.98366011,92073
1401937,32942666,42666,2405BH,4,Oil Well,40,Operator reported location - Distances and Plat,3231860.01345144,2344157.58267717,31.78829631,-102.11557867,92076
1411222,32942753,42753,21LB,4,Oil Well,40,Operator reported location - Distances and Plat,3287631.75393701,2393023.48293963,31.94435533,-101.96118916,92284
1411223,32942754,42754,21JM,4,Oil Well,40,Operator reported location - Distances and Plat,3287634.06856956,2393036.50524935,31.94436234,-101.96114723,92353
1484916,32943354,43354,306BH,4,Oil Well,40,Operator reported location - Distances and Plat,3250533.92979002,2322219.40780839,31.8385308,-102.18749389,92357
1367232,32942341,42341,26LL,4,Oil Well,40,Operator reported location - Distances and Plat,3276357.33923885,2305179.5757874,31.90872582,-102.24416672,92420
1341507,32941884,41884,117H,4,Oil Well,40,Operator reported location - Distances and Plat,3297694.64632545,2378944.46817586,31.97139085,-102.00726236,92425
1363654,32942231,42231,1016H,4,Oil Well,40,Operator reported location - Distances and Plat,3322632.6456693,2347537.74835958,32.03845732,-102.11026341,92434
1406745,32942726,42726,0404BH,4,Oil Well,40,Operator reported location - Distances and Plat,3218952.09153543,2369342.6496063,31.75404737,-102.03360603,93136
710902,32931129,31129,1,7,Plugged Oil Well,15,Commission`s hardcopy map,3299446.76935695,2405235.1187664,31.97735318,-101.92199194,93262
1329057,32941655,41655,0022WA,4,Oil Well,40,Operator reported location - Distances and Plat,3233446.34645669,2383058.02362205,31.79465354,-101.99023806,95393
710696,32940917,40917,3704H,4,Oil Well,40,Operator reported location - Distances and Plat,3264215.53543307,2374639.1023622,31.87897408,-102.01919733,95443
1408359,32942741,42741,1D,11,Injection / Disposal,55,Coordinates - Operator reported,3265119.17355643,2402888.74770342,31.88269932,-101.92764006,95535
1717826,32945587,45587,123,19,Shut-In Oil,40,Operator reported location - Distances and Plat,3311929.96784776,2370066.30872704,32.0101278,-102.03678052,95573
709856,32938725,38725,3311W,21,Injection / Disposal from Oil,55,Coordinates - Operator reported,3264139.18110237,2324873.26902887,31.8761434,-102.17979739,95631
1763685,32946144,46144,126,4,Oil Well,40,Operator reported location - Distances and Plat,3287057.61679789,2423071.77821523,31.94420599,-101.86410637,95821
1763715,32946146,46146,137,4,Oil Well,40,Operator reported location - Distances and Plat,3286967.79757218,2422684.77755906,31.94394065,-101.86535143,95826
710961,32931671,31671,1H,4,Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3295251.03608924,2409965.38615486,31.9661727,-101.90690526,95993
710707,32940919,40919,3706H,4,Oil Well,40,Operator reported location - Distances and Plat,3263548.56528871,2373124.21227033,31.87706098,-102.02404729,96069
709379,32939830,39830,315,7,Plugged Oil Well,55,Coordinates - Operator reported,3291082.44914699,2326662.92257218,31.95045912,-102.17574357,96149
743016,32936756,36756,7,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3244063.29954068,2331014.29691601,31.82120539,-102.15872526,96150
1485487,32943384,43384,1H,4,Oil Well,40,Operator reported location - Distances and Plat,3273161.42355643,2367786.69914699,31.90324605,-102.04183518,96180
1485488,32943385,43385,2H,4,Oil Well,40,Operator reported location - Distances and Plat,3273293.62335958,2368069.19914699,31.90362448,-102.04093105,96181
1763561,32946136,46136,211,4,Oil Well,40,Operator reported location - Distances and Plat,3287249.67093176,2423790.14927821,31.94476826,-101.86179658,96753
1395542,32942607,42607,0024LS,4,Oil Well,40,Operator reported location - Distances and Plat,3264820.53937008,2335226.90452756,31.87857752,-102.14642513,96910
1484915,32943353,43353,306LH,4,Oil Well,40,Operator reported location - Distances and Plat,3250501.57053806,2322244.93503937,31.83844308,-102.18740947,98372
745575,32933262,33262,6909A,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3216997.80905512,2412756.67158793,31.75078743,-101.89356029,98790
