category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,DAS,DEED AND ASSIGNMENT
Land Records,REAL PROPERTY,DEED-A/OG&M,DEED-A/OG&M
Land Records,REAL PROPERTY,DEED/ASGN,DEED/ASGN
Land Records,REAL PROPERTY,DEED/ASN,DEED/ASN
Land Records,REAL PROPERTY,DAAC,DEED ASSIGNMENT AND CONVEYANCE
Land Records,REAL PROPERTY,DEED & ASSN,DEED & ASSN
Land Records,REAL PROPERTY,DEED/BS/ASN,DEED/BS/ASN
Land Records,REAL PROPERTY,DEED/BS ETC,DEED/BS ETC
Land Records,REAL PROPERTY,DEED/CONV,DEED/CONV
Land Records,REAL PROPERTY,DEED/CONVEY,DEED/CONVEY
Land Records,REAL PROPERTY,DEED DIST,DEED DIST
Land Records,REAL PROPERTY,DEED/EASE,DEED/EASE
Land Records,REAL PROPERTY,DEED ET AL,DEED ET AL
Land Records,REAL PROPERTY,DEED ETC,DEED ETC
Land Records,REAL PROPERTY,DEED/FORE,DEED/FORE
Land Records,REAL PROPERTY,DEED/GIFT,DEED/GIFT
Land Records,REAL PROPERTY,DEED LIEU,DEED LIEU
Land Records,REAL PROPERTY,DEED/LIEU/WD,DEED/LIEU/WD
Land Records,REAL PROPERTY,DEED/LQDTN,DEED/LQDTN
Land Records,REAL PROPERTY,DOCA&BOS,DEED OF CONVEYANCE ASSIGNMENT & BILL OF SALE
Land Records,REAL PROPERTY,DOR,DEED OF RELEASE
Land Records,REAL PROPERTY,DT,DEED OF TRUST
Land Records,REAL PROPERTY,DTASA,DEED OF TRUST ASSIGNMENT SECURITY AGREEMENT
Land Records,REAL PROPERTY,DEED/TRUST,DEED/TRUST
Land Records,REAL PROPERTY,DWOW,DEED WITHOUT WARRANTIES
Land Records,REAL PROPERTY,DESIGPU,DESIGNATIN OF POOLED UNIT
Land Records,REAL PROPERTY,PUNI,DESIGNATION OF POOLED UNIT
Land Records,REAL PROPERTY,DESIGN/POOL,DESIGN/POOL
Land Records,REAL PROPERTY,DIST DEED,DIST DEED
Land Records,REAL PROPERTY,DISTR DEED,DISTR DEED
Land Records,REAL PROPERTY,D&CD,DISTRIBUTION & CONTRIBUTION DEED
Land Records,REAL PROPERTY,DD,DISTRIBUTION DEED
Land Records,REAL PROPERTY,DPMDWW,DISTRIBUTION PROPERTY AND MINERAL DEED WITHOUT WAR
Land Records,REAL PROPERTY,DO1,DIVISION ORDER
